req_id,hlj_id,missing_model
req-001,req-001-hlj-chunk_1-item_10-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_3-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_4-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_5-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_6-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_7-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_8-v1.0,meta70b
req-001,req-001-hlj-chunk_1-item_9-v1.0,meta70b
req-001,req-001-hlj-chunk_2-item_1-v1.0,gpt41
req-001,req-001-hlj-chunk_2-item_2-v1.0,gpt41
req-001,req-001-hlj-chunk_2-item_3-v1.0,gpt41
req-001,req-001-hlj-chunk_2-item_3-v1.0,meta70b
req-001,req-001-hlj-chunk_2-item_4-v1.0,gpt41
req-001,req-001-hlj-chunk_2-item_4-v1.0,meta70b
req-001,req-001-hlj-chunk_2-item_5-v1.0,gpt41
req-001,req-001-hlj-chunk_2-item_5-v1.0,meta70b
req-002,req-002-hlj-chunk_1-item_10-v1.0,meta70b
req-002,req-002-hlj-chunk_1-item_6-v1.0,meta70b
req-002,req-002-hlj-chunk_1-item_7-v1.0,meta70b
req-002,req-002-hlj-chunk_1-item_8-v1.0,meta70b
req-002,req-002-hlj-chunk_1-item_9-v1.0,meta70b
req-002,req-002-hlj-chunk_2-item_1-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_1-v1.0,meta70b
req-002,req-002-hlj-chunk_2-item_10-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_10-v1.0,opus4
req-002,req-002-hlj-chunk_2-item_11-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_11-v1.0,opus4
req-002,req-002-hlj-chunk_2-item_12-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_12-v1.0,opus4
req-002,req-002-hlj-chunk_2-item_2-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_2-v1.0,meta70b
req-002,req-002-hlj-chunk_2-item_3-v1.0,gpt41
