tag,hlj_id,requirement_id,model,version,cluster_id
integration,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,all_0
gig-economy,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,all_1
data-verification,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,all_2
integration,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v2,all_0
aggregation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,all_3
data-normalization,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,all_4
aggregation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v2,all_3
normalization,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v2,all_4
eligibility,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,all_5
risk,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,all_6
rules-engine,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,all_7
eligibility,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v2,all_5
risk,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v2,all_6
admin,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,all_8
rule-management,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,all_9
admin,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v2,all_8
eligibility,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,all_5
eligibility,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v2,all_5
kyc,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,all_10
aml,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,all_11
compliance,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,all_12
kyc,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v2,all_10
aml,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v2,all_11
fraud,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,all_13
detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,all_14
fraud,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v2,all_13
detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v2,all_14
consent,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,all_15
user-experience,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,all_16
consent,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v2,all_15
user experience,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v2,all_16
dispute,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,all_17
dispute,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v2,all_17
compliance,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,all_12
privacy,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,all_18
regulation,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,all_19
compliance,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v2,all_12
privacy,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v2,all_18
encryption,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,all_20
rbac,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,all_21
compliance,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,all_12
encryption,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v2,all_20
rbac,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v2,all_21
dashboard,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,all_22
