tag,hlj_id,requirement_id,model,version,cluster_id
integration,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,gpt41_0
gig-economy,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,gpt41_1
data-verification,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,gpt41_2
integration,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v2,gpt41_0
aggregation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,gpt41_3
data-normalization,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,gpt41_4
aggregation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v2,gpt41_3
normalization,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v2,gpt41_4
eligibility,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,gpt41_5
risk,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,gpt41_6
rules-engine,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,gpt41_7
eligibility,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v2,gpt41_5
risk,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v2,gpt41_6
admin,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,gpt41_8
rule-management,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,gpt41_9
admin,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v2,gpt41_8
eligibility,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,gpt41_5
eligibility,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v2,gpt41_5
kyc,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,gpt41_10
aml,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,gpt41_11
compliance,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,gpt41_12
kyc,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v2,gpt41_10
aml,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v2,gpt41_11
fraud,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,gpt41_13
detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,gpt41_14
fraud,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v2,gpt41_13
detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v2,gpt41_14
consent,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,gpt41_15
user-experience,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,gpt41_16
consent,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v2,gpt41_15
user experience,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v2,gpt41_16
dispute,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,gpt41_17
dispute,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v2,gpt41_17
compliance,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,gpt41_12
privacy,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,gpt41_18
regulation,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,gpt41_19
compliance,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v2,gpt41_12
privacy,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v2,gpt41_18
encryption,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,gpt41_20
rbac,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,gpt41_21
compliance,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,gpt41_12
encryption,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v2,gpt41_20
rbac,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v2,gpt41_21
dashboard,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,gpt41_22
monitoring,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,gpt41_23
compliance,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,gpt41_12
monitoring,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v2,gpt41_23
logging,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v1,gpt41_24
audit,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v1,gpt41_25
compliance,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v1,gpt41_12
audit,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v2,gpt41_25
ui-testing,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v1,gpt41_26
parallel,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v1,gpt41_27
staging,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v1,gpt41_28
parallel,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v2,gpt41_27
staging,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v2,gpt41_28
ci-cd,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v1,gpt41_29
blocking,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v1,gpt41_30
ci/cd,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v2,gpt41_29
blocking,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v2,gpt41_30
coverage,REQ-030-HLJ-Chunk_1-Item_3-v1.0,req-030,gpt41,tags_v1,gpt41_31
analytics,REQ-030-HLJ-Chunk_1-Item_3-v1.0,req-030,gpt41,tags_v1,gpt41_32
coverage,REQ-030-HLJ-Chunk_1-Item_3-v1.0,req-030,gpt41,tags_v2,gpt41_31
analytics,REQ-030-HLJ-Chunk_1-Item_3-v1.0,req-030,gpt41,tags_v2,gpt41_32
coverage,REQ-030-HLJ-Chunk_1-Item_4-v1.0,req-030,gpt41,tags_v1,gpt41_31
visualization,REQ-030-HLJ-Chunk_1-Item_4-v1.0,req-030,gpt41,tags_v1,gpt41_33
coverage,REQ-030-HLJ-Chunk_1-Item_4-v1.0,req-030,gpt41,tags_v2,gpt41_31
visualization,REQ-030-HLJ-Chunk_1-Item_4-v1.0,req-030,gpt41,tags_v2,gpt41_33
logs,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,gpt41_24
screenshots,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,gpt41_34
video,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,gpt41_35
logs,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v2,gpt41_24
screenshots,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v2,gpt41_34
video,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v2,gpt41_35
flakiness,REQ-030-HLJ-Chunk_1-Item_6-v1.0,req-030,gpt41,tags_v1,gpt41_36
recommendations,REQ-030-HLJ-Chunk_1-Item_6-v1.0,req-030,gpt41,tags_v1,gpt41_37
flakiness,REQ-030-HLJ-Chunk_1-Item_6-v1.0,req-030,gpt41,tags_v2,gpt41_36
recommendations,REQ-030-HLJ-Chunk_1-Item_6-v1.0,req-030,gpt41,tags_v2,gpt41_37
flakiness,REQ-030-HLJ-Chunk_1-Item_7-v1.0,req-030,gpt41,tags_v1,gpt41_36
headless,REQ-030-HLJ-Chunk_1-Item_7-v1.0,req-030,gpt41,tags_v1,gpt41_38
flakiness,REQ-030-HLJ-Chunk_1-Item_7-v1.0,req-030,gpt41,tags_v2,gpt41_36
headless,REQ-030-HLJ-Chunk_1-Item_7-v1.0,req-030,gpt41,tags_v2,gpt41_38
quarantine,REQ-030-HLJ-Chunk_1-Item_8-v1.0,req-030,gpt41,tags_v1,gpt41_39
flakiness,REQ-030-HLJ-Chunk_1-Item_8-v1.0,req-030,gpt41,tags_v1,gpt41_36
quarantine,REQ-030-HLJ-Chunk_1-Item_8-v1.0,req-030,gpt41,tags_v2,gpt41_39
flakiness,REQ-030-HLJ-Chunk_1-Item_8-v1.0,req-030,gpt41,tags_v2,gpt41_36
documentation,REQ-030-HLJ-Chunk_1-Item_9-v1.0,req-030,gpt41,tags_v1,gpt41_40
testing-guides,REQ-030-HLJ-Chunk_1-Item_9-v1.0,req-030,gpt41,tags_v1,gpt41_41
documentation,REQ-030-HLJ-Chunk_1-Item_9-v1.0,req-030,gpt41,tags_v2,gpt41_40
