hlj_id,domain,tag,domain_valid,validation_reason,model,req_id
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,integration,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,api,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,uber,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,gig workers,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,gig-economy,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,api integration,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_1-v1.0,FinTech,data-verification,,unknown_domain_in_tag,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,api,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,doordash,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,integration,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,aggregation,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,normalization,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,gig income,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,eligibility,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_2-v1.0,FinTech,income verification,,unknown_domain_in_tag,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,api,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,upwork,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,integration,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,eligibility,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,kyc,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,aml,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_3-v1.0,FinTech,compliance,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,api,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,fiverr,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,integration,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,admin,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,user_experience,False,domain_mismatch,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,data connection,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_4-v1.0,FinTech,rule-management,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_5-v1.0,FinTech,income,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_5-v1.0,FinTech,aggregation,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_5-v1.0,FinTech,data,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_5-v1.0,FinTech,eligibility,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_5-v1.0,FinTech,earnings,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_1-Item_5-v1.0,FinTech,user_experience,False,domain_mismatch,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_6-v1.0,FinTech,compliance,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_6-v1.0,FinTech,kyc,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_6-v1.0,FinTech,regulations,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_6-v1.0,FinTech,legal,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_7-v1.0,FinTech,verification,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_7-v1.0,FinTech,security,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_7-v1.0,FinTech,identity,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_7-v1.0,FinTech,compliance,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_7-v1.0,FinTech,encryption,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_8-v1.0,FinTech,fraud,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_8-v1.0,FinTech,security,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_8-v1.0,FinTech,income,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_8-v1.0,FinTech,monitoring,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_8-v1.0,FinTech,compliance,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_8-v1.0,FinTech,reporting,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_9-v1.0,FinTech,audit,True,whitelist,meta70b,req-008
REQ-008-HLJ-Chunk_2-Item_9-v1.0,FinTech,logging,True,whitelist,meta70b,req-008
REQ-030-HLJ-Chunk_1-Item_1-v1.0,SaaS,ui_testing,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_1-Item_1-v1.0,SaaS,staging,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_1-Item_1-v1.0,SaaS,browser_coverage,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_1-Item_2-v1.0,SaaS,ci/cd,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_1-Item_2-v1.0,SaaS,blocking,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_1-Item_2-v1.0,SaaS,deployment,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_2-Item_1-v1.0,SaaS,security,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_2-Item_1-v1.0,SaaS,debugging,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_2-Item_1-v1.0,SaaS,compliance,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_2-Item_2-v1.0,SaaS,compliance,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_2-Item_2-v1.0,SaaS,security,True,whitelist,meta70b,req-030
REQ-030-HLJ-Chunk_2-Item_2-v1.0,SaaS,accessibility,True,whitelist,meta70b,req-030
REQ-006-HLJ-Chunk_1-Item_1-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_1-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_1-v1.0,FinTech,tenant management,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_1-v1.0,FinTech,configuration,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_2-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_2-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_2-v1.0,FinTech,burst limits,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_3-v1.0,FinTech,configuration,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_3-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_3-v1.0,FinTech,real-time,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_3-v1.0,FinTech,real-time updates,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_3-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
