2025-07-11 01:08:34,692 [INFO] Use pytorch device_name: mps
2025-07-11 01:08:34,692 [INFO] Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-07-11 01:08:35,792 [INFO] [1/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/run_manifest.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/run_manifest.json', 'status': 'no_candidates'}
2025-07-11 01:08:36,644 [INFO] [25/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.005795033182948828, 'fallback': ''}
2025-07-11 01:08:36,940 [INFO] [50/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:37,210 [INFO] [75/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -0.0028178244829177856, 'fallback': ''}
2025-07-11 01:08:37,490 [INFO] [100/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-023/REQ-023-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-023/REQ-023-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.035468459129333496, 'fallback': ''}
2025-07-11 01:08:37,761 [INFO] [125/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-012/REQ-012-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-012/REQ-012-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:37,955 [INFO] [150/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-002/REQ-002-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-002/REQ-002-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.02857760153710842, 'fallback': ''}
2025-07-11 01:08:38,166 [INFO] [175/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:38,394 [INFO] [200/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.026292314752936363, 'fallback': ''}
2025-07-11 01:08:38,610 [INFO] [225/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-021/REQ-021-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-021/REQ-021-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:38,802 [INFO] [250/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:39,007 [INFO] [275/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-029/REQ-029-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-029/REQ-029-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': 0.04403351619839668, 'fallback': ''}
2025-07-11 01:08:39,211 [INFO] [300/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-008/REQ-008-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-008/REQ-008-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.04301917180418968, 'fallback': ''}
2025-07-11 01:08:39,417 [INFO] [325/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:39,628 [INFO] [350/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-001/REQ-001-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-001/REQ-001-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:39,830 [INFO] [375/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-009/REQ-009-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-009/REQ-009-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': 0.017177848145365715, 'fallback': ''}
2025-07-11 01:08:40,056 [INFO] [400/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': -0.00900244526565075, 'fallback': ''}
2025-07-11 01:08:40,280 [INFO] [425/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'success', 'silhouette': 0.09969977289438248, 'fallback': ''}
2025-07-11 01:08:40,497 [INFO] [450/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-024/REQ-024-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-024/REQ-024-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': -0.0005731016281060874, 'fallback': ''}
2025-07-11 01:08:40,737 [INFO] [475/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-002/REQ-002-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-002/REQ-002-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.007011893205344677, 'fallback': ''}
2025-07-11 01:08:40,963 [INFO] [500/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-005/REQ-005-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-005/REQ-005-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:41,166 [INFO] [525/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-003/REQ-003-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-003/REQ-003-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:41,375 [INFO] [550/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-021/REQ-021-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-021/REQ-021-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.0753873661160469, 'fallback': ''}
2025-07-11 01:08:41,593 [INFO] [575/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-019/REQ-019-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-019/REQ-019-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.02704654633998871, 'fallback': ''}
