2025-07-11 01:12:34,757 [INFO] Use pytorch device_name: mps
2025-07-11 01:12:34,757 [INFO] Load pretrained SentenceTransformer: all-mpnet-base-v2
2025-07-11 01:12:36,797 [INFO] [1/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/run_manifest.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/run_manifest.json', 'status': 'no_candidates'}
2025-07-11 01:12:40,345 [INFO] [25/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.02563774585723877, 'fallback': ''}
2025-07-11 01:12:41,091 [INFO] [50/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:41,718 [INFO] [75/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.03448743000626564, 'fallback': ''}
2025-07-11 01:12:42,207 [INFO] [100/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-023/REQ-023-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-023/REQ-023-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.044300809502601624, 'fallback': ''}
2025-07-11 01:12:42,665 [INFO] [125/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-012/REQ-012-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-012/REQ-012-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:43,067 [INFO] [150/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-002/REQ-002-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-002/REQ-002-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.034238602966070175, 'fallback': ''}
2025-07-11 01:12:43,499 [INFO] [175/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:44,015 [INFO] [200/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.002530512632802129, 'fallback': ''}
2025-07-11 01:12:44,440 [INFO] [225/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-021/REQ-021-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-021/REQ-021-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:44,862 [INFO] [250/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:45,292 [INFO] [275/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/meta70b/req-029/REQ-029-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/meta70b/req-029/REQ-029-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': 0.015066253952682018, 'fallback': ''}
2025-07-11 01:12:45,818 [INFO] [300/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-008/REQ-008-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-008/REQ-008-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.01680588349699974, 'fallback': ''}
