model,requirement_id,raw_path,summary_path,hlj_path
opus4,req-014,eval/output/opus4/req-014/summary/step1_response.txt,eval/output/opus4/req-014/summary/summary_clean.json,eval/output/opus4/req-014/hlj/merged/all_chunks_full.json
opus4,req-013,eval/output/opus4/req-013/summary/step1_response.txt,eval/output/opus4/req-013/summary/summary_clean.json,eval/output/opus4/req-013/hlj/merged/all_chunks_full.json
opus4,req-012,eval/output/opus4/req-012/summary/step1_response.txt,eval/output/opus4/req-012/summary/summary_clean.json,eval/output/opus4/req-012/hlj/merged/all_chunks_full.json
opus4,req-015,eval/output/opus4/req-015/summary/step1_response.txt,eval/output/opus4/req-015/summary/summary_clean.json,eval/output/opus4/req-015/hlj/merged/all_chunks_full.json
opus4,req-010,eval/output/opus4/req-010/summary/step1_response.txt,eval/output/opus4/req-010/summary/summary_clean.json,eval/output/opus4/req-010/hlj/merged/all_chunks_full.json
opus4,req-028,eval/output/opus4/req-028/summary/step1_response.txt,eval/output/opus4/req-028/summary/summary_clean.json,eval/output/opus4/req-028/hlj/merged/all_chunks_full.json
opus4,req-026,eval/output/opus4/req-026/summary/step1_response.txt,eval/output/opus4/req-026/summary/summary_clean.json,eval/output/opus4/req-026/hlj/merged/all_chunks_full.json
opus4,req-027,eval/output/opus4/req-027/summary/step1_response.txt,eval/output/opus4/req-027/summary/summary_clean.json,eval/output/opus4/req-027/hlj/merged/all_chunks_full.json
opus4,req-029,eval/output/opus4/req-029/summary/step1_response.txt,eval/output/opus4/req-029/summary/summary_clean.json,eval/output/opus4/req-029/hlj/merged/all_chunks_full.json
opus4,req-011,eval/output/opus4/req-011/summary/step1_response.txt,eval/output/opus4/req-011/summary/summary_clean.json,eval/output/opus4/req-011/hlj/merged/all_chunks_full.json
